PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,UOP,ALESATORE D6  H7,D6,6225281,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,WSG,MASCHIO M12,M12X1 HSS,6233,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
BRCL000400000473,WST,FRESA METALLO DURO D8,D8,F11330800,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,YAMAHA,MASCHIO M16,M16 ISO2 VA,9245,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
BRCL00400000140,YG1,ALESATORE D16X52X170,D16,16177344,ALESATORE,2,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,YG1,ALESATORE D3 H7,D3,K211100300,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,YG1,PUNTA D2X4X21X57,D2,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,YG1,PUNTA D2.7,D2.7,D5405027,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,ZORLINE,FRESA METALLO DURO D8,8X20X60,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL011840,,PUNTA 1.6 HSS,D1.6,,PUNTA,3,METALLO DURO,NUOVO,PUNTE 1.6 PANNELLI,,TRUE,,,,,,
,,FRESA DIAMANTATA D10X20X70,D10,,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,,FRESA DIAMANTATA D10,D10,108M.100103072,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,,FRESA SFERICA DIAMANTATA D6 R45,D6,366065D427,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
BRCL01044C,JONGEN,FRESA LUNGA D12,D12,VHM 19210 KD14 D12,FRESA,1,DIAMANTATA,USATO,RIAFFILATE1,,TRUE,,,,,,
,BURZONI,PUNTA TD850 D7.8 KP60,D7.8,,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
BRCL000400000408,CERATIZIT,WNT PUNTA D7.6,D7.6,10734076,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,FRESA RIAFFILATA D18,D18,02985,FRESA,1,DIAMANTATA,USATO,RIAFFILATE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D8.5,D8.5,1170208500,PUNTA,2,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,OSG PUNTA D8.6,D8.6,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,PUNTA YG D8.7,D8.7,DH452087,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,OSG PUNTA D 8.6,D8.6,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,TRED,PUNTA D8.5,D8.5,9150 8.5 K/P T-RED,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 0880 MDI,D8.8,,PUNTA,2,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D8.5 TD850GP 0850 MDI,D8.5,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D9 TD850GP 0900 KR60,D9,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D9.6 TD850GP 0960 KR60,D9.6,,PUNTA,5,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA  D9.8,D9.8,11 703 09800,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D9.8 TD850GP 0980 KR60,D9.8,,PUNTA,4,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D9.1 TD850GP 0910 KR60,D9.1,,PUNTA,8,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D9.2 TD850 D9.2 KP60,D9.2,,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,PUNTA D9.5,D9.5,11 702 09000,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,FIMU,KENNAMETAL PUNTA D9.8,D9.8,B966A09800,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,PUNTA D10  5XD,D10,11 702 10000,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,PUNTA D9.8  8XD,D9.8,11 704  09800,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D10.1 TD850GP 1100 MDI,D10.1, ,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D10.2 TD850GP 1020 MDI,D10.2,,PUNTA,3,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D10,D10,K10 R100 D10,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D10,D10,1170310000,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
BRCL00467C,CERATIZIT,PUNTA D10.2,D10.2,11 702 10200,PUNTA,3,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1080 KR60,D10.8,,PUNTA,2,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1050 MDI,D10.5,,PUNTA,2,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,,,,,,,,,,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1100 MDI,D11,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,OSSOLANA,PUNTA D10.7  H7,D10.7,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,PUNTA D10.5 5DX,D10.5,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D11.8,D11.8,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1100 KR60,D11,,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1170 KR60,D11.7,,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1100 MDI,D11,,PUNTA,3,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA D11.5,D11.5,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,OSG PUNTA D8.6,D8.6,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,OSG PUNTA D12,D12,43011220,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1250 KR60,D12.5,,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1200 KR60,D12,,PUNTA,3,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
BRCL0004000003656,CERATIZIT,PUNTA 11 702 12000,D12,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA 10 105 123,D12.3,,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA 11 703 12000,D12.5,,PUNTA,3,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,BURZONI,PUNTA TD850GP 1050 MDI,D10.5,,PUNTA,3,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D13,D13,10 107 130,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,CERATIZIT,PUNTA D13,D13,10 787 1300,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,YG1,PUNTA D15,D15,,PUNTA,1,METALLO DURO,USATO,PUNTE2,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D2.3 L14 CARBONIO,D2.3,,PUNTA,1,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D2 X11 CARBONIO,D2,,PUNTA,2,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,JONGEN,PUNTA D2 CARBONIO,D2,VHB 3395 MK10,PUNTA,2,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,JONGEN,PUNTA D2 CARBONIO,D2,VHB 3394 KD14,PUNTA,1,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D2.5 X14,D2.5,,PUNTA,6,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D3.5,D3.5 ,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D3 X12,D3,,PUNTA,15,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D3.1,D3.1,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D3.2 X14,D3.2,,PUNTA,3,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D4.4,D4.4,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D4.3 L29,D4.3,,PUNTA,3,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,CERIN,CERIN PUNTA D4,D4,,PUNTA,1,METALLO DURO,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D4.5 L18,D4.5,,PUNTA,6,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.1 L35,D5.1,,PUNTA,6,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.8 X20,D5.8,,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.5,D5.5,,PUNTA,2,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.8 L35,D5.8,,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,SPPW,SPPW PUNTA D5.1 L28,D5.1,,PUNTA,3,METALLO DURO,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.5,D5.5,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D5.6 L43,D5.6,,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D6 X65,D6,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D6 ,D6 ,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D6 X20,D6,,PUNTA,3,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D6.1  X43,D6.1,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
BRCL00365C,RAFF,KARNASCH PUNTA D7.1  X43,D7.1,,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH D7.2,D7.2,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,SPPW,PUNTA D8.5 X80 CARBONIO,D8.5,,PUNTA,2,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,,PUNTA KEVLAR D8.5,D8.5,,PUNTA,2,KEVLAR,USATO,PUNTE3,,TRUE,,,,,,
,,PUNTA CARBONIO D8.5,D8.5,,PUNTA,1,CARBONIO,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D8  L3=2,D8,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,YG1,PUNTA CARBONIO D8,D8,,PUNTA,3,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
,FIMU,KENNAMETAL PUNTA D8.6,D8.6,,PUNTA,1,METALLO DURO,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D7.1,D7.1 ,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D8,D8,,PUNTA,1,DIAMANTATA,USATO,PUNTE3,,TRUE,,,,,,
,CERIN,CERIN PUNTA D9 CARBONIO,D9,,PUNTA,1,CARBONIO,USATO,PUNTE3,,TRUE,,,,,,
BRCL01048C,RAFF,KARNASCH PUNTA D8.8  L103,D8.8,,PUNTA,1,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,BURZONI,PUNTA VETRO D8,D8,,PUNTA,5,VETRO,NUOVO,PUNTE3,,TRUE,,,,,,
,RAFF,KARNASCH PUNTA D12X0.56,D12,,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
,,PUNTA CARBONIO D12.4,D12.4,,PUNTA,1,CARBONIO,USATO,PUNTE3,,TRUE,,,,,,
,,PUNTA PER SVASATORE ALI 113,,,SVASATORE,1,SVASATORE,USATO ,SMUSSATORI,,TRUE,,,,,,
,,SMUSSATORE D11 100°,D11,,SVASATORE,1,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
,CERATIZIT,WNT SMUSSATORE D12 36°,D12,,SVASATORE,1,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
,RAFF,FRCO SMUSSATORE D20 100°,D20,,SVASATORE,1,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
BRCL01163C,RAFF,SMUSSATORE D10 90°,D10,RAFF-SDT90-D.10,SVASATORE,2,SVASATORE,NUOVO,SMUSSATORI,,TRUE,,,,,,
,RAFF,SMUSSATORE D8,D8,,SVASATORE,2,SVASATORE,NUOVO,SMUSSATORI,,TRUE,,,,,,
,BURZONI ,SMUSSATORE D30,D30,,SVASATORE,5,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
,BURZONI,SMUSSATORE D6.3,T S90 0630 KP60,,SVASATORE,2,SVASATORE,NUOVO,SMUSSATORI,,TRUE,,,,,,
,BURZONI,SMUSSATORE D16.5,D16.5,,SVASATORE,1,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
,,SMUSSATORE D12 50°,D12,,SVASATORE,1,SVASATORE,USATO,SMUSSATORI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D11,D11,10.11.110,POLLEDRO,2,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D13,D13,10.11.130,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,GUIDA O/F D6.5,D6.5,10.16.065,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,,LAMATORE ALI DALLARA,,PSAG-10-7.9-L7,LAMATORE,1,STANDARD,USATO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D8,D8,11.16.080,POLLEDRO,2,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D6,D6,11.16.060,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D10,D10,11.16.100,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D14,D14,60.01.140,POLLEDRO,3,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D16,D16,60.01.160,POLLEDRO,2,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,GRANLUND,OF 12.5,D12.5,,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D15,D15,11.11.150,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D19,D19,11.11.190,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D4,D4,10.16.040,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D6,D6,10.16.060,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
,POLLEDRI,POLLEDRO D15 90°,D15,10.12.150,POLLEDRO,1,STANDARD,NUOVO,POLLEDRI,,TRUE,,,,,,
BRCL01416C,FIMU,GUHRING FRESA METALLO DURO D6,D6,2910-6.004 DIN371,FRESA,2,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
,HOFFMAN,GARANT FRESA CARBONIO D12/05,D12,209760 12/05,FRESA,5,CARBONIO,USATO,FRESA METALLI2,,TRUE,,,,,,
BRCL00187C,RAFF,KARNASCH FRESA DIAMANTATA D4,D4 L2=16,291763.0400.16,FRESA,3,CARBONIO,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,RAFF,OSG PUNTA METALLO DURO D3.2 8D,D3.2,8684320,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,OSG PUNTA METALLO DURO D4.3  8D,D4.3,8684430,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,INSERTI FRESA SFERICA D25,D25,5614736800,INSERTI,4,FRESA,USATO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,GUHRING PUNTA METALLO DURO D2.05,D2.05,6488-2.050,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA METALLO DURO D1.8,D1.8,6400-1.800,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,KENNAMETAL PUNTA D1.5,D1.5,B051A01500CPG,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,RAFF,OSG PUNTA METALLO DURO D1.6 X12,D1.6,8577160,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,FIMU,GUHRING PUNTA METALLO DURO D3.25  X8,D3.25,5768-3.25,PUNTA,2,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
BRCL01071C,FIMU,GUHRING ALESATORE D2 H7,D2,1429-2.000,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,RAFF,CERIN FRESA D8,D8 X32,68SX 0800932100DM,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL000400000075,FIMU,SECO FRESA DIAMANTATA D8,D8 X80,6042378,FRESA,1,DIAMANTATA,USATO,DIAMANTATE 1,,TRUE,,,,,,
,JONGEN,FRESA DIAMANTATA D8,D8,         VHM 19406 KD14,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,JONGEN,FRESA DIAMANTATA D8,D8,VHM,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,FIMU,SECO FRESA DIAMANTATA D6,D6 ,02720258,FRESA,2,CARBONIO,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,,,,,,,,,,,TRUE,,,,,,
,HOFFMAN,HOLEX PETTINE AMERICANO,,139707 G1/2,PETTINE,1,STANDARD,NUOVO,PRTTINI,,TRUE,,,,,,
,FIMU,SECO FRESA DIAMANTATA D12,D12,5991125,FRESA,1,CARBONIO,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL01418C,HOFFMAN,GARANT FRESA CARBONIO D8,D8,209517 8,FRESA,1,CARBONIO,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL01376C,FIMU,GUHRING PUNTA ALLUMINIO NUDA D5,D5,1149-6.000,PUNTA,1,ALLUMINIO PER CARBONIO,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
BRCL01402C,HOFFMAN,SPPW GARANT PUNTA D5.5,D5.5,7631 180 0550HC,PUNTA,3,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
BRCL01353,RAFF,SMUSSATORE D20 82°,D20,02985,SMUSSATORE,1,STANDARD,NUOVO,SMUSSATORI,,TRUE,,,,,,
BRCL01352C,RAFF,SMUSATORE D20 100°,D20,02985,SMUSSATORE,1,STANDARD,NUOVO,SMUSSATORI,,TRUE,,,,,,
BRCL01414C,DC,DC MASCHIO AMERICANO 5/16,5/16  18,SA350-3,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL01375C,NOVATEA,NOVATEA INSERTO FRESA PETTINE,413.00ISO028,007VTX/007TMVBX,INSERTI,2,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL01049C,FIMU,GUHRING MASCHIO AMERICANO 5/16,5/16 18USC,HSSE 22919707,MASCHIO,2,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D9.8  140°,D9.8,1170309800,PUNTA,1,METALLO DURO,NUOVO,PUNTE2,,TRUE,,,,,,
,RAFF,KARNASCH FRESA RIAFFILATA D16 L2,D16,291763305239,FRESA,1,CARBONIO,RIAFFILATA,DIAMANTATE 1,,TRUE,,,,,,
,HOFFMAN,HOLEX ALESATORE D10,D10,4045197937247,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
BRCL01358C,FIMU,SECO ALESATORE D 9.533,D9.533,6230210,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,SPPW,SPPW PUNTA CARBONIO D7,D7,731 180 0700HC,PUNTA,2,CARBONIO,NUOVO,PUNTE3,,TRUE,,,,,,
BRCL01372C,FIMU,GUHRING ALESATORE D16 H7,D16,K10 23575490,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D7,D7,53 613 07400,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,FIMU,GUHRING INSERTI FRESA D17.5,D17.5 ,K/P23490704,INSERTI,5,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,GUHRING INSERTI FRESA D13 UR,D13,4115-1300,INSERTI,0,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,SECO FRESA  D16  R1=2,D16,5964752,FRESA,1,IR27,USATO,FRESA METALLI2,,TRUE,,,,,,
BRCL01359C,FIMU,GUHRING ALESATORE D10  H7,D10,K10 23603347,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
,INTERNO,INSERTO TELAIO IR27 FESATO,D31.3,,INSERTI,1,IR27,NUOVO,ALESATORI,,TRUE,,,,,,
,INTERNO,INSERTO TELAIO IR27 STAMPATO,,,INSERTI,1,IR27,NUOVO,ALESATORI,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO AMERICANO 1/2 13 UNC,1/2 13 ,HSSE 23074489,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
BRCL00054,JONGEN,INSERTI FRESA KD16,JMB16-85R03-KD16,B16B-ER,INSERTI,9,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,RAFF,FRESA D11.33,D11.33 R1,02985-FWT3120,FRESA,1,METALLO DURO,USATO,FRESA METALLI2,,TRUE,,,,,,
,FIMU,GUHRING MASCHIO M10,M10 15/118.1,,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
BRCL01366,FIMU,SECO INSERTI FRESA TCGT32.51 F-AL,TCGT32.51 F-AL,00015861,INSERTI,9,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,CARMEX,CARMEX INSERTI FRESA 14 I 2.5 ISO,14 I 2.5 ISO,0050400111,INSERTI,2,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,FIMU,GUHRING PUNTA D5  K10 K20,D5,23660736,PUNTA,0,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,TUNG LOY,MASCHIO M10 6HX,M10 6HX,,MASCHIO,1,STANDARD,USATO,MASCHI,,TRUE,,,,,,
BRCL01290C,HOFFMAN,GARANT INSERTI FRESA 1.5 HB7720,D1.5,045197707062,INSERTI,1,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL01291C,HOFFMAN,GARANT FRESA A INTERPOLAZIONE 18L,18L,217252,FRESA ,1,DIAMANTATA,USATO,FRESA METALLI1,,TRUE,,,,,,
BRCL01289,HOFFMAN,INSERTI FRESA CCQT,CCQT 06204L,,INSERTI,4,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D12/2.0,D12,0093591115,FRESA,1,METALLO DURO,USATO,FRESA METALLI2,,TRUE,,,,,,
,RAFF,MITSUBISHI INSERTI FRESA CCGH21.51LF,CCGH21.51LF,FP8682ZGJM3GY,INSERTI,4,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL01288C,,INSERTI TORNITURA CC.T0602D4 CC.T0602,D4,,INSERTI,3,TORNIO,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL01230C,,INSERTI FRESA A DISCO 1.5MM,D1.5,217297,INSERTI,0,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,INTERNO,ATTREZZI TELAIO DUCATI,VARIE,,MONTAGGIO DUCATI,6,MONTAGGIO DUCATI,NUOVO,PUNTE1.6 PANNELLI,,TRUE,,,,,,
BRCL01403,SPPW,PUNTE ELICA VHM DIAMANTATE D6.5 L72X31,D6.5,7311800650,PUNTA,2,DIAMANTATA,NUOVO,PUNTE3,,TRUE,,,,,,
BRCL00853,HOFFMAN,HOLEX ALESATORE D10,D10,160150,ALESATORE,1,STANDARD,NUOVO,ALESATORI,,TRUE,,,,,,
BRCL01405,SPPW,PUNTE D9 DIAMANTATE,D9,7311800900,PUNTA,2,CRESTA DI GALLO,NUOVO,PUNTE3,,TRUE,,,,,,
BRCL01377,FIMU,GUHRING PUNTA D8 CRESTA DI GALLO,D8,K10K2023802644,PUNTA,1,CRESTA DI GALLO,NUOVO,PUNTE3,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D12,D12,,FRESA,3,METALLO DURO,USATE,BELOTTIC1,,TRUE,,,,,,
,BURZONI,FRESA METALLO DURO D12,D12,,FRESA,1,METALLO DURO,USATO,BELOTTIC1,,TRUE,,,,,,
,,FRESA METALLO DURO D12 X 28.5,D12,,FRESA,1,METALLO DURO,USATO ,BELOTTIC1,,TRUE,,,,,,
