PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,BURZONI,PUNTA D3.3 TD850GP 0330 KR60,D3.3,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D3.3  TD850GP 0330 KR60,D3.3,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D3.2 TD 850 GP 0320 MDI,D3.2,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D3.5TD 850 GP 0320 MDI,D3.5,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.1 TD850GP 0410 KR60,D4.1,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4 TD 850GP 0400 MDI,D4,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.2 TD 850 GP 0420 MDI,D4.2,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.5 TD 850 GP 0450 MDI,D4.8,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.3 TD850 GP 0430 MDI,D4.3,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.8 TD850GP 0480 KR60,D4.8,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D4.4 TD850GP 0440 KR60,D4.4,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D5  L.TOT.80 MDI,D5,,PUNTA,4,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D5.1 TD850GP 0510 KR60,D5.1,,PUNTA,4,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D5.2 TD 850GP 520 MDI,D5.2,,PUNTA,3,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6 DTD 830 GP 0600,D6,,PUNTA,5,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D5.8 TD 530GP 0580 KR60,D5.8,,PUNTA,8,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.3 TD850GP 0630 KR60,D6.3,,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.1 TD850GP 0610 KR60,D6.1,,PUNTA,4,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.5 TD850 GP 0650 MDI,D6.5,,PUNTA,5,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.4 TD850 0640 MDI,D6.4,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D5.8 TD 850 GP 0580 MDI,D5.8,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,TUNGLOY PUNTA D6.8 TD8120 0680 MD,D6.8,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.8 TD850 0680 MDI,D6.8,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D7 TD830 0700MDI,D7,,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D7 TD850GP 0700KR60,D7,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,BURZONI,PUNTA D6.6 TD 850 0660MDI,D6.6,,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
