,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
,RAFF,CERIN FRESA D8,D8 X32,68SX 0800932100DM,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL000400000075,FIMU,SECO FRESA DIAMANTATA D8,D8 X80,6042378,FRESA,1,USATO,DIAMANTATE 1,
,JONGEN,FRESA DIAMANTATA D8,D8,         VHM 19406 KD14,FRESA,0,NUOVO,DIAMANTATE 1,
,JONGEN,FRESA DIAMANTATA D8,D8,VHM,FRESA,1,NUOVO,DIAMANTATE 1,
,HOFFMAN,HOLEX PETTINE INGLESE GAS,,139707 G1/2,PETTINE,1,NUOVO,PRTTINI,
,FIMU,SECO FRESA DIAMANTATA D12,D12,5991125,FRESA,1,NUOVO,DIAMANTATE 1,
BRCL01376C,FIMU,GUHRING PUNTA ALLUMINIO NUDA D5,D5,1149-6.000,PUNTA,1,NUOVO,DIAMANTATE 1,
BRCL01402C,HOFFMAN,SPPW PUNTA D5.5 CRESTA DI GALLO,D5.5,7631 180 0550HC,PUNTA,1,NUOVO,PUNTE3,
BRCL01353,RAFF,SMUSSATORE D20 82°,D20,02985,SMUSSATORE,1,NUOVO,SMUSSATORI,
BRCL01352C,RAFF,SMUSATORE D20 100°,D20,02985,SMUSSATORE,1,NUOVO,SMUSSATORI,
BRCL01414C,DC,DC MASCHIO AMERICANO 5/16,5/16  18,SA350-3,MASCHIO,0,NUOVO,MASCHI A,
BRCL01375C,NOVATEA,NOVATEA INSERTO FRESA PETTINE,413.00ISO028,007VTX/007TMVBX,INSERTI,2,NUOVO,INSERTI FRESA,
BRCL01049C,FIMU,GUHRING MASCHIO AMERICANO 5/16,5/16 18USC,HSSE 22919707,MASCHIO,1,NUOVO,MASCHI A,
,CERATIZIT,WNT PUNTA D9.8  140°,D9.8,1170309800,PUNTA,1,NUOVO,PUNTE2,
,RAFF,KARNASCH FRESA RIAFFILATA D16 L2,D16,291763305239,FRESA,1,RIAFFILATA,DIAMANTATE 1,
,HOFFMAN,HOLEX ALESATORE D10,D10,4045197937247,ALESATORE,1,NUOVO,ALESATORI,
BRCL01358C,FIMU,SECO ALESATORE D 9.533,D9.533,6230210,ALESATORE,1,NUOVO,ALESATORI,
,HOFFMAN,SPPW PUNTA CARBONIO D7,D7,731 180 0700HC,PUNTA,2,NUOVO,PUNTE3,
BRCL01372C,FIMU,GUHRING ALESATORE D16 H7,D16,K10 23575490,ALESATORE,1,NUOVO,ALESATORI,
,CERATIZIT,WNT FRESA METALLO DURO D7,D7,53 613 07400,FRESA,1,NUOVO,FRESA METALLI1,
,FIMU,GUHRING INSERTI FRESA D17.5,D17.5 ,K/P23490704,INSERTI,5,NUOVO,INSERTI FRESA,
,FIMU,GUHRING INSERTI FRESA D13 UR,D13,4115-1300,INSERTI,0,NUOVO,INSERTI FRESA,
,FIMU,SECO FRESA  D16  R1=2,D16,5964752,FRESA,1,USATO,FRESA METALLI2,
BRCL01359C,FIMU,GUHRING ALESATORE D10  H7,D10,K10 23603347,ALESATORE,1,NUOVO,ALESATORI,
,BERCELLA,INSERTO TELAIO IR27 FESATO,D31.3,,INSERTI,1,NUOVO,ALESATORI,
,BERCELLA,INSERTO TELAIO IR27 STAMPATO,,,INSERTI,1,NUOVO,ALESATORI,
,FIMU,GUHRING MASCHIO AMERICANO 1/2 13 UNC,1/2 13 ,HSSE 23074489,MASCHIO,1,NUOVO,MASCHI A,
BRCL00054,JONGEN,INSERTI FRESA KD16,JMB16-85R03-KD16,B16B-ER,INSERTI,3,NUOVO,INSERTI FRESA,
,RAFF,FRESA D11.33,D11.33 R1,02985-FWT3120,FRESA,1,USATO,FRESA METALLI2,
,FIMU,GUHRING MASCHIO M10,M10 15/118.1,,MASCHIO,1,USATO,MASCHI,
BRCL01366,FIMU,SECO INSERTI FRESA TCGT32.51 F-AL,TCGT32.51 F-AL,00015861,INSERTI,9,NUOVO,INSERTI FRESA,
,CARMEX,CARMEX INSERTI FRESA 14 I 2.5 ISO,14 I 2.5 ISO,0050400111,INSERTI,2,NUOVO,INSERTI FRESA,
,FIMU,GUHRING PUNTA D5  K10 K20,D5,23660736,PUNTA,0,NUOVO,PUNTE1,
,TUNGALOY,MASCHIO M10 6HX,M10 6HX,,MASCHIO,1,USATO,MASCHI,
BRCL01290C,HOFFMAN,GARANT INSERTI FRESA 1.5 HB7720,D1.5,045197707062,INSERTI,1,NUOVO,INSERTI FRESA,
BRCL01291C,HOFFMAN,GARANT FRESA A INTERPOLAZIONE 18L,18L,217252,FRESA ,1,USATO,FRESA METALLI1,
BRCL01289,HOFFMAN,INSERTI FRESA CCQT,CCQT 06204L,,INSERTI,4,NUOVO,INSERTI FRESA,
,CERATIZIT,WNT FRESA METALLO DURO D12/2.0,D12,0093591115,FRESA,1,USATO,FRESA METALLI2,
,RAFF,MITSUBISHI INSERTI FRESA CCGH21.51LF,CCGH21.51LF,FP8682ZGJM3GY,INSERTI,4,NUOVO,INSERTI FRESA,
BRCL01230C,,INSERTI FRESA A DISCO 1.5MM,D1.5,217297,INSERTI,0,NUOVO,INSERTI FRESA,
,BERCELLA,ATTREZZI TELAIO DUCATI,VARIE,,MONTAGGIO DUCATI,6,NUOVO,PUNTE1.6 PANNELLI,
BRCL01403,HOFFMAN,SPPW PUNTE ELICA VHM DIAMANTATE D6.5 L72X31,D6.5,7311800650,PUNTA,1,NUOVO,PUNTE3,
BRCL00853,HOFFMAN,HOLEX ALESATORE D10,D10,160150,ALESATORE,1,NUOVO,ALESATORI,
BRCL01405,HOFFMAN,SPPW PUNTE D9 DIAMANTATE,D9,7311800900,PUNTA,2,NUOVO,PUNTE3,
BRCL01377,FIMU,GUHRING PUNTA D8 CRESTA DI GALLO,D8,K10K2023802644,PUNTA,1,NUOVO,PUNTE3,
,BURZONI,FRESA METALLO DURO D12,D12,,FRESA,3,USATE,BELOTTIC1,
,BURZONI,FRESA METALLO DURO D12,D12,,FRESA,1,USATO,BELOTTIC1,
,,FRESA METALLO DURO D12 X 28.5,D12,,FRESA,1,USATO ,BELOTTIC1,
,BURZONI,FERSA METALLO DURO D10  X 22.6,D10,,FRESA,1,USATO,BELOTTIC1,
,RAFF,OSG FRESA METALLO DURO D10 X 29,D10,,FRESA,1,NUOVO,BELOTTIC1,
,CERATIZIT,WNT FRESA DIAMANTATA D10  X 23,D10,,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,WNT FRESA DIAMANATAT D12 X 26.5,D12,,FRESA,1,USATO,BELOTTIC1,
,RAFF,FRESA DIAMANTATA D6,D6 X 19,,FRESA,1,USATO ,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D 3.5  X15.5,D3.5,,FRESA,1,USATO,BELOTTIC1,
,RIME,FRESA NUDA D 5,D5 R0.1,,FRESA,3,USATO,BELOTTIC1,
,BURZONI,FRESA METALLO DURO D6,D6 X 18,,FRESA,2,USATO,BELOTTIC1,
,FAPIL,FRESA NUDA D16X120X72,D16,,FRESA,1,USATISSIMO,BELOTTIC1,
,RAFF,FRESA NUDA D8,D8 R1,,FRESA,1,USATO,BELOTTIC1,
,RAFF,FRESA NUDA D8,D8 R0.2,,FRESA,1,USATO,BELOTTIC1,
,BURZONI,FRESA DIAMANTATA D8,D8 X 12,,FRESA,1,USATO,BELOTTIC1,
,RAFF,FRESA NUDA D8,D8 R0.2,,FRESA,1,USATO,BELOTTIC1,
,RIME,FRESA METALLO DURO D6,D6 R0.5,,FRESA,1,USATO,BELOTTIC1,
,BURZONI,FRESA METALLO DURO D20,TMDG 41200 MDI,,FRESA,3,USATISIMO,BELOTTIC1,
,,FRESA MEALLO DURO D16 X 46.5,D16,,FRESA,1,USATO,BELOTTIC1,
,,FRESA NUDA D19 X 54,D19,,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D12,D12,0093480833,FRESA,4,USATO,BELOTTIC1,
,HOFFMAN,GARANT FRESA METALLO DURO D11,D11,0094106807,FRESA,1,USATO,BELOTTIC1,
,HOFFMAN,GARANT FRESA METALLO DURO D6,D6,0094390955,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D4,D4,53523050,FRESA,2,USATO,BELOTTIC1,
,BURZONI ,FRESA A GRATTUGIA D8,D8 K40 E100,,FRESA,3,USATO ,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D6,D6,,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D5,D5,,FRESA,1,USATO,BELOTTIC1,
,HOFFMAN,GARANT FRESA METALLO DURO D7,D7,0094064631,FRESA,2,USATO,BELOTTIC1,
BRCL000400000137,HOFFMAN,FRESA METALLO DURO D8,D8,202272,FRESA,0,NUOVO,BELOTTIC1,
,HOFFMAN,FRESA RIAFFILATA D6,D6 ,0093954358,FRESA,1,RIAFFILATA,BELOTTIC1,
,CERATIZIT,WNTFRESA METALLO DURO D6,D6,53 618 06200,FRESA,1,USATO,BELOTTIC1,
,BURZONI ,FRESA METALLO DURO D8,TMDG 41080 MDI,,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,WNT FRESA METALLO DURO D20,D20,54 070 20200,FRESA,1,USATO,BELOTTIC1,
,RAFF,FRESA RIAFFILATA D16,D16,,FRESA,1,RIAFFILATA,BELOTTIC1,
,RAFF,KARNASCH FRESA DIAMANTATA D10  X60,D10,,FRESA,1,USATO,BELOTTIC1,
,CERIN,CERIN FRESA DIAMANTATA D8,D8,,FRESA,1,USATO,BELOTTIC1,
,FIMU,KENNAMETAL FRESA DIAMANTATA D11.9,"D11,9",,FRESA,1,USATO,BELOTTIC1,
,FIMU,KENNAMETAL FRESA DIAMANTATA D6,D6,,FRESA,1,USATO ,BELOTTIC1,
,FRANCO,FRESE SPECIALI FRANCO,VARIE,,FRESA,3,USATO,BELOTTIC1,
,RAFF,FRESA DIAMANTATA D16,D16,,FRESA,1,USATO,BELOTTIC1,
,CERATIZIT,FRESA NUDA D12 LUNGA,D12,,FRESA,3,USATO ,BELOTTIC1,
,CERATIZIT,WNT FRESA NUDA D12,D12,,FRESA,1,USATO,BELOTTIC1,
,,FRESA METALLO DURO D14,D14,,FRESA,1,USATO,BELOTTIC1,
,RIME,RIME FRESA A PUNTA D10,D10,,FRESA,1,USATO,BELOTTIC1,
,FIMU,KENNAMETAL FRESA DIAMANTATA D 8,D8,CCNC0800A4BH,FRESA,1,USATO ,BELOTTIC1,
,,FRESA A INSERTI D20,D20,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA METALLO DURO D12,D12,,FRESA,1,USATO,BELOTTIC2,
,RIME,FRESA METALLO DURO D1.1,D1.1,HTQ11/06,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA NUDA SFERICA D2,D2,,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA NUDA D1.3,D1.3,,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA METALLO DURO D2,D2,,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA NUDA SFERICA D1,D1,,FRESA,1,NUOVO,PUNTE 1.6 PANNELLI,
,,FRESA NUDA SFERICA D1.5,D1.5,,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA NUDA SFERICA D2,D2,,FRESA,1,NUOVO,BELOTTIC2,
,BURZONI,FRESA METALLO DURO SFERICA D4,TMB 210 0400 L250 MDI,,FRESA,2,USATO,BELOTTIC2,
,BURZONI,FRESA METALLO DURO SFERICA D4,TMB 210 0400 L350 MDI,,FRESA,1,USATO,BELOTTIC2,
,BURZONI,FRESA METALLO DURO SFERICA D4,SCC 040 200 XL 75B MDI,,FRESA,1,USATO,BELOTTIC2,
,RIME,FRESA NUDA SFERICA D4,D4,HM6/02,FRESA,1,USATO,BELOTTIC2,
,GAIT,FRESA SFERICA NUDA D20,D20,FR19.8,FRESA,1,USATO,BELOTTIC2,
,GAIT,FRESA SFERICA NUDA D20,D20,FR19.98,FRESA,1,USATO,BELOTTIC2,
,,FRESA NUDA SFERICA D12 X40X150,D12,Z2 R6+SO,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D6,D6,,FRESA,1,USATO,,
,,FRESA NUDA SFERICA D3,D3,,FRESA,1,USATO,BELOTTIC2,
,UOP,FRESA METALLO DURO SFERICA D3,D3,,FRESA,1,USATO,BELOTTIC2,
,BURZONI,FRESA SFERICA METALLO DURO D6,TMDG 24060 MDI,,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA SFERICA NUDA GRATTUGIA D6,D6,,FRESA,1,USATO,BELOTTIC2,
,CERATIZIT,WNT FRESA SFERICA METALLO DURO D4,D4,50 953 041,FRESA,1,NUOVO,BELOTTIC2,
,CERATIZIT,FRESA NUDA SFERICA D6,D6,53 609 060,FRESA,1,NUOVO,BELOTTIC2,
,BURZONI,FRESA SFERICA METALLO DURO D8,SN 080 L MDI,,FRESA,3,USATO,BELOTTIC2,
,RAFF,FRESA RIAFFILATA NUDA SFERICA D8,D8,,FRESA,1,USATO,BELOTTIC2,
,CERATIZIT,FRESA SFERICA NUDA D8,D8,53 511 080,FRESA,1,NUOVO,BELOTTIC2,
,,FRESA SFERIC DIAMANTATA D10,D10,,FRESA,0,USATO,BELOTTIC2,
,CERATIZIT,WNT FRESA SFERICA NUDA D10.075,D10.075,53 511 100,FRESA,1,USATO,BELOTTIC2,
,BURZONI,FRESA SFERICA METALLO DURO D10,LS100 MDI,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D10,D10,,FRESA,1,USATO,BELOTTIC2,
,FAPIL,FRESA A INSERTI SFERICA D40,D40,FCS 02 04033 RD,FRESA,1,USATO,BELOTTIC2,
,RAFF,FRESA SFERICA A GRATTUGIA DIAMANTATA D9.3,D9.3,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D12 X30,D12,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D12 X53,D12,,FRESA,2,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D10.3,"D10,3",,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D18.4,D18.4,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D17.5,D17.5,,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D9.85,D9.85,,FRESA,1,USATO,BELOTTIC2,
,FAPIL,FRESA A INSERTI D20,D20,FCS 01 02060 RD,FRESA,1,USATO,BELOTTIC2,
,,FRESA SFERICA NUDA D9.6,D9.6,,FRESA,1,USATO,BELOTTIC2,
,RAFF,FRESA RIAFFILATA SFERICA NUDA D12,D12,,FRESA,1,USATO,BELOTTIC2,
,MFM,FRESA SFERICA NUDA CORTA D12 8N,D12,W334081,FRESA,1,USATO,BELOTTIC2,
,RAFF,FRESA SFERICA NUDA D10  L140,D10,02985,FRESA,1,USATO,BELOTTIC2,
,,PUNTA D5.8 METALLO DURO,D5.8 ,C008UK,PUNTA,3,USATO,BELOTTIC3,
,FIMU,KARNASCH PUNTA DIAMANTATA D2.2 X40,D2.2,290120.0220.014,PUNTA,1,NUOVO,BELOTTIC3,
,FIMU,GUHRING PUNTA CREST DI GALLO D6  XK10/20,D6,01024,PUNTA,1,USATO,BELOTTIC3,
,YG1,PUNTA METALLO DURO D4,D4,,PUNTA,1,USATO ,BELOTTIC3,
,,PUNTA CRESTA DI GALLO D4,D4,,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO T43 0350 HSSE,D3.5,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850 0430MDI,D4.3,,PUNTA,1,NUOVO,BELOTTIC3,
,,PUNTA CRESTA DI GALLO D4.2,D4.2,,PUNTA,1,NUOVO,BELOTTIC3,
,,PUNTA CRESTA DI GALLO D3.3,D3.3,,PUNTA,6,NUOVO,BELOTTIC3,
,BURZONI,PUNTA CRESTA DI GALLO T43 0250 HSSE,D2.5,,PUNTA,1,NUOVO,BELOTTIC3,
,,PUNTA CRESTA DI GALLO D3,D3,,PUNTA,0,NUOVO,BELOTTIC3,
,,PUNTA CRESTA DI GALLO D3.2,D3.2,,PUNTA,3,NUOVO,BELOTTIC3,
,YG1,PUNTA METALLO DURO D2.8,D2.8,,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD 850GP 0480 MDI,D4.8,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD 850GP 0480 MDI,D4.5,,PUNTA,0,USATO,BELOTTIC3,
,CERATIZIT,WNTPUNTA D4.2,D4.2,T400092920082,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 0350 MDI,D3.5,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO T43 0450 HSSE,D4.5,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D3.5,D3.5,,PUNTA,1,USATO,BELOTTIC3,
,RAFF,KARNASCH PUNTA DIAMANTATA D5,D5,290120.0510.035,PUNTA,1,USATO,BELOTTIC3,
,YG1,PUNTA CRESTA DI GALLO D5X6X44X82,D5,DH424050,PUNTA,1,USATO,BELOTTIC3,
,YG1,PUNTA D5.4,D5.4,DH452054,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA PER VETRO D5 G5 LTOT80,D5,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA D5  LTOT80 MDI,D5,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO T43 0520 HSSE,D5.2,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA D5.2,D5.2,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA D5.6,D5.6,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850 GP 0520 MDI,D5.2,,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850 GP 0600,D6,,PUNTA,3,USATO,,
,BURZONI,PUNTA METALLO DURO TD850 GP 0500MDI,D5,,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850 GP 0510 MDI,D5.1,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D6,D6,,PUNTA,1,USATO,BELOTTIC3,
,FIMU,KENNAMETAL PUNTA D7,D7,B966A07000,PUNTA,1,USATO,BELOTTIC3,
,YG1,PUNTA METALLO DURO D2.3X4X21X57,D2.3,DH424023,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA T43 D5.2 KP60,D5.2,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 0660 KR60,D6.6,,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 0700 MDI,D7,,PUNTA,2,NUOVO,BELOTTIC3,
,CERATIZIT,WNT PUNTA METALLO DURO D6.2 140°,D6.2,00093591190,PUNTA,2,NUOVO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 0630 MDI,D6.3,,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 0610 MDI,D6.1,,PUNTA,3,USATO,BELOTTIC3,
,UOP,PUNTA D6.5,D6.5,49120,PUNTA,1,USATO,BELOTTIC3,
,RAFF,KARNASCH PUNTA D6.4 L3,D6.4,43290120202,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA MEYALLO DURO D7,D7,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTINE PER TRAPANO D1.5,D1.5,,PUNTA,8,NUOVO,BELOTTIC3,
,RAFF,KARNASCH PUNTA DIAMANTATA D8  X43,D8,290120800043,PUNTA,2,NUOVO,BELOTTIC3,
,RAFF,KARNASCH PUNTA DIAMANTATA D6.5 L43,D6.5,290122,PUNTA,1,NUOVO,BELOTTIC3,
,BURZONI,PUNTA D7.6,D7.6,TD850 0760MDI,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO T43 0750 HSSE,D7.5,,PUNTA,1,USATO,BELOTTIC3,
,CERIN,PUNTA CRESTA DI GALLO D9,D9,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO TD850GP 2000 KR60,D20,,PUNTA,1,USATO,BELOTTIC3,
,CERATIZIT,WNT FRESA METALLO DURO D2.5,D2.5,53 939 02500,FRESA,0,NUOVO,FRESA METALLI1,
,BURZONI,PUNTA METALLO DURO D8.5,D8.5,,PUNTA,2,USATO,BELOTTIC3,
,RAFF,KARNASCH PUNTA CRESTA DI GALLO CARBONIO D3,D3,29008CA,PUNTA,1,USATO,BELOTTIC3,
,RAFF,KARNASCH PUNTA CARBONIO D3.2X14,D3.2,29008B,PUNTA,5,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D8,D8,TD850GP0800MDI,PUNTA,1,USATO,BELOTTIC3,
,CERATIZIT,PUNTA METALLO DURO D8,D8,11 704 08000,PUNTA,1,USATO,BELOTTIC3,
,RAFF,CERIN PUNTA CRESTA DI GALLO D9,D9,,PUNTA,1,USATO,BELOTTIC3,
,TUNGALOY,PUNTA METALLO DURO D9.5,D9.5,T43 0950 HSSE,PUNTA,2,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D8.3,D8.3,,PUNTA,1,USATO,BELOTTIC3,
,CERATIZIT,PUNTA METALLO DURO D10.2 5xD,D10.2,11 702 10200,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D8.8,D8.8,TD850 GP 0880 MDI,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D10.5,D10.5,TD850 GP 1050 MDI,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D10,D10,TD850 GP 1000 MDI,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D9.8,D9.8,TD850 GP 0980 MDI,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D8.5,D8.5,TD850 GP 0850 MDI,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D9.7,D9.7,TD850 GP 0970 MDI,PUNTA,1,USATO,BELOTTIC3,
,DORMER,PUNTA METALLO DURO D9.8 HSS A100,D9.8,,PUNTA,1,USATO,BELOTTIC3,
,CERATIZIT,WMT PUNTA METALLO DURO D10,D10,11 703 10000,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D9,D9,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D9.6,D9.6,,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D11.7 KR60,D11.7,TD850 GP 1170 KR60,PUNTA,1,USATO,BELOTTIC3,
,RIME,SVASATORE D16,D16,,SVASATORE,1,USATO,BELOTTIC3,
,RIME,SVASATORE D8 MKS,D8,HM35 8 90 MKS 180304,SVASATORE,2,USATO,BELOTTIC3,
,,PORTA LAMATORE,D4,,,1,,BELOTTIC3,
,CERATIZIT,WNT PUNTA METALLO DURO D11.5,D11.5,11 703 11500,PUNTA,1,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D11,D11,T43 1100 HSSE,PUNTA,2,USATO,BELOTTIC3,
,BURZONI,PUNTA METALLO DURO D10,D10,T43 1000 HSSE,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D10.7,D10.7,B966A10800 KC7315,PUNTA,1,USATO,BELOTTIC3,
,DORMER,PUNTA METALLO DURO D12 ,D12,6RS01283135,PUNTA,1,USATO,BELOTTIC3,
,HARTNER,PUNTA METALLO DURO D5,D5,,PUNTA,1,USATO,BELOTTIC3,
,DORMER,PUNTA METALLO DURO D5.5X200mm,D5.5,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D10,D10,,PUNTA,1,USATO,BELOTTIC3,
,,PUNTA METALLO DURO D9.5,D9.6,,PUNTA,1,USATO,BELOTTIC3,
,CARMON,PUNTA METALLO DURO D14,D14,,PUNTA,1,USATO,BELOTTIC3,
,,FRESA SPECIALE DIAMANTATA PIATTA,,,FRESA,1,USATO,BELOTTIC4,
,UOP,FRESA DIAMANTATA D16.5X4 X85,D16.5,,FRESA,1,USATO,BELOTTIC4,
BRCL000400000027,SANDVIK,ALESATORE MDI PER TORNITURA E06H,D6,E06H-STFCL 06-R,ALESATORE,1,USATO,BELOTTIC4,
,,FRESA PIATTA D45.5X10,D45.5,,FRESA,1,USATO,BELOTTIC4,
,,FRESA PIATTA DIAMANTATA D40X2-S1,D40,,FRESA,1,USATO,BELOTTIC4,
,SIMTEK,FRESA A DISCO METALLO DURO D7.6,D7.6,,FRESA,1,USATO,BELOTTIC4,
,,FRESA SPECIALE DIAMANTATA D32,D32,,FRESA,1,USATO,BELOTTIC4,
,RAFF,FRESA NUDA D15,D15,2985,FRESA,1,NUOVO,BELOTTIC4,
,BURZONI,SVASATORE D12.4,D12.4,TS90 1240 HSS,SVASATORE,1,USATO,BELOTTIC4,
,OMAL,"SVASATORE D10,4",D10.4,,SVASATORE,1,USATO,BELOTTIC4,
,,SVASATORED12.5,D12.5,,SVASATORE,1,USATO,BELOTTIC4,
,OMAL,SVASATORE D31 K20,D31,,SVASATORE,1,USATO,BELOTTIC4,
,CERATIZIT,ALESATORE D10 F7,D10,40 410 090,ALESATORE,1,USATO,BELOTTIC4,
,HOFFMAN,ALESATORE D9,D9,160150_9,ALESATORE,1,USATO,BELOTTIC4,
,,PUNTA CARBONIO D10,D10,,PUNTA,1,USATO,BELOTTIC4,
,BURZONI,SVASATORE D30,D30,,SVASATORE,1,USATO,BELOTTIC4,
,FORMAT,SVASATORE D6.3,D6.3,,SVASATORE,2,USATO,BELOTTIC4,
,,SPACCAMASCHIO D4,D4,,SPACCAMASCHIO,1,USATO,BELOTTIC4,
,HOFFMAN,SVASATORE D9,D9,160150_9,SVASATORE,1,USATO,BELOTTIC4,
,CERATIZIT,SVASATORE D10,D10,40 410 090,SVASATORE,1,USATO,BELOTTIC4,
,DORMER,FRESA PIATTA D40X4,D40,,FRESA,1,USATO,BELOTTIC4,
,RAFF,FRESA A T D15.5,D15.5,02985 FAT 16 SP20,FRESA,1,USATO,BELOTTIC4,
,,FRESA A INSERTI D60,D60,,FRESA,1,USATO,BELOTTIC4,
,UOP,ALESATORE D8 X95,D8,32105,ALESATORE,1,USATO,BELOTTIC4,
,UOP,ALESATORE D10 H7,D10,6245827,ALESATORE,1,USATO,BELOTTIC4,
,UOP,ALESATORE D11 X85,D11,321005,ALESATORE,1,USATO,BELOTTIC4,
,KOMET,ALESATORE D9 H7,D9,9.00.H7.DIN8093,ALESATORE,1,USATO,BELOTTIC4,
BRCL000402343601,UOP,ALESATORE D6 X85,D6,32105,ALESATORE,5,USATO,BELOTTIC4,
,,ALESATORE CUSTOM,D9.6,,ALESATORE,1,USATO,BELOTTIC4,
,ILIX,ALESATORE D6.35,D6.35,ILIX 6326C,ALESATORE,1,USATO,BELOTTIC4,
,OMAL,ALESATORE D6 H7,D6,740006,ALESATORE,1,USATO,BELOTTIC4,
,STOCK,ALESATORE D7 H7,D7,DIN 212-3-RN,ALESATORE,1,USATO,BELOTTIC4,
,,ALESATORE CUSTOM D14,D14,,ALESATORE,1,USATO,BELOTTIC4,
,,ALESATORE CUSTOM D10,D10,,ALESATORE,1,USATO,BELOTTIC4,
,ILIX,ALESATORE D11.93,D11.93,DIN 8093,ALESATORE,1,USATO,BELOTTIC4,
