,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
,DORMER,MASCHIO AMERICANO 3/8  STRAIGHT FLUTE,3/8,,MASCHIO,1,USATO,MASCHI A,
,DSN,UTENSILE DA DISEGNO AIRBUS RAFF02985,,,FRESA,0,NUOVO,PUNTE 1.6 PANNELLI,
,EG, PETTINE M4 PITCH 70,D4,,FRESA,1,NUOVO,PETTINI,
,EMUGE,"MASCHIO M18X1,50  ISO2 6H",M18,1489354,MASCHIO,1,USATO,MASCHI,
,EMUGE,MASCHIO M10 6HX REK1A,M10,,MASCHIO,1,USATO,MASCHI,
,EMUGE,MASCHIO AMERICANO 5/16  UNF REK A,5/16,,MASCHIO,1,NUOVO,MASCHI A,
BRCL00040000090,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,21376055,MASCHIO,1,NUOVO,MASCHI A,
BRCL01361C,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,23442133,MASCHIO,1,NUOVO,MASCHI A,
BRCL00040000091,FIMU,GUHRING MASCHIO AMERICANO,C-5/16/24 UNF/2BX,20066305,MASCHIO,1,NUOVO,MASCHI A,
BRCL01361C,FIMU,GUHRING MASCHIO AMERICANO,C-1/2-13 UNC/2BX,23074439,MASCHIO,1,NUOVO,MASCHI A,
,FIMU,GUHRING MASCHIO M4,M4 6HX,23543248,MASCHIO,3,NUOVO,MASCHI,
,FIMU,GUHRING MASCHIO M5,M5 6HX,235448943,MASCHIO,2,NUOVO,MASCHI,
BRCL01416C,FIMU,GUHRING MASCHIO M6,M6 6HX,22804685,MASCHIO,14,NUOVO,MASCHI,
BRCL00687C,FIMU,GUHRING MASCHIO M8,M8,2232117,MASCHIO,0,NUOVO,MASCHI,
BRCL00234C,FIMU,GUHRING MASCHIO M10,M10 6HX HSSE,23543176,MASCHIO,2,NUOVO,MASCHI,
BRCL01417C,FIMU,GUHRING MASCHIO M10,"M10 X1,25 6HX HSS",21146789,MASCHIO,2,NUOVO,MASCHI,
,FIMU,GUHRING MASCHIO M12,M12 6HX HSSE,21417526,MASCHIO,1,NUOVO,MASCHI,
,FIMU,GUHRING MASCHIO M14,"M14X1,30 VHM SIRIUS",22912221,MASCHIO,2,USATO,MASCHI,
,FIMU,GUHRING MASCHIO M14,"M14 X1,50 6HX HSSE",23154956,MASCHIO,1,USATO,MASCHI,
BRCL00705C,FIMU,GUHRING MASCHIO M12,"M12X1,50 ISO2 HSSE",23152916,MASCHIO,3,NUOVO,MASCHI,
BRCL000400000088,FIMU,MASCHIO M18,"M18X1,50  ISO6H",2880705,MASCHIO,1,NUOVO,MASCHI,
,FIMU,GUHRING MASCHIO EG M4 6H MOD,M4 EG ,1479769,MASCHIO,1,NUOVO,MASCHI EG,
,FIMU,GUHRING MASCHIO EG M5 EG M5 6 MOD HSSE,M5 EG,16287835,MASCHIO,2,NUOVO,MASCHI EG,
,FIMU,GUHRING MASCHIO EG M8,M8 6H HSSE,302905552,MASCHIO,1,USATO,MASCHI EG,
