Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
FRESA SFERICA NUDA D9.85,Fresa,Sferica,D9.85,9.85,4.925,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D9.85,
FRESA A INSERTI D20,Fresa,Inserti,D20,20.0,,,,,,Dx,,,USATO,BELOTTIC2,,FCS 01 02060 RD,FAPIL,1,Fresatura,Metrico,FRESA A INSERTI D20,A
FRESA SFERICA NUDA D9.6,Fresa,Sferica,D9.6,9.6,4.8,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D9.6,
FRESA RIAFFILATA SFERICA NUDA D12,Fresa,Sferica,D12,12.0,6.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,RAFF,1,Fresatura,Metrico,FRESA RIAFFILATA SFERICA NUDA D12,RIAFFILATA
FRESA SFERICA NUDA CORTA D12 8N,Fresa,Sferica,D12,12.0,6.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,W334081,MFM,1,Fresatura,Metrico,FRESA SFERICA NUDA CORTA D12 8N,8N CORTA
FRESA SFERICA NUDA D10  L140,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,02985,RAFF,1,Fresatura,Metrico,FRESA SFERICA NUDA D10  L140,
PUNTA D5.8 METALLO DURO,Punta,,D5.8,5.8,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,C008UK,,3,Foratura,Metrico,PUNTA D5.8 METALLO DURO,
KARNASCH PUNTA DIAMANTATA D2.2 X40,Punta,,D2.2,2.2,,40.0,,,,Dx,,Diamante,NUOVO,BELOTTIC3,,290120.0220.014,FIMU,1,Foratura,Metrico,KARNASCH PUNTA DIAMANTATA D2.2 X40,KARNASCH DIAMANTATA
GUHRING PUNTA CREST DI GALLO D6  XK10/20,Punta,,D6,6.0,,,,,,Dx,,,USATO,BELOTTIC3,,01024,FIMU,1,Foratura,Metrico,GUHRING PUNTA CREST DI GALLO D6  XK10/20,CREST GALLO DI GUHRING
PUNTA METALLO DURO D4,Punta,,D4,4.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,YIG,1,Foratura,Metrico,PUNTA METALLO DURO D4,
PUNTA CRESTA DI GALLO D4,Punta,,D4,4.0,,,,,,Dx,,,USATO,BELOTTIC3,,,,2,Foratura,Metrico,PUNTA CRESTA DI GALLO D4,CRESTA GALLO DI
PUNTA METALLO DURO T43 0350 HSSE,Punta,,D3.5,3.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO T43 0350 HSSE,HSSE
PUNTA METALLO DURO TD850 0430MDI,Punta,,D4.3,4.3,,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850 0430MDI,0430MDI
PUNTA CRESTA DI GALLO D4.2,Punta,,D4.2,4.2,,,,,,Dx,,,NUOVO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA CRESTA DI GALLO D4.2,CRESTA GALLO DI
PUNTA CRESTA DI GALLO D3.3,Punta,,D3.3,3.3,,,,,,Dx,,,NUOVO,BELOTTIC3,,,,6,Foratura,Metrico,PUNTA CRESTA DI GALLO D3.3,CRESTA GALLO DI
PUNTA CRESTA DI GALLO T43 0250 HSSE,Punta,,D2.5,2.5,,,,,,Dx,HSSE,,NUOVO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA CRESTA DI GALLO T43 0250 HSSE,GALLO DI CRESTA
PUNTA CRESTA DI GALLO D3,Punta,,D3,3.0,,,,,,Dx,,,NUOVO,BELOTTIC3,,,,0,Foratura,Metrico,PUNTA CRESTA DI GALLO D3,CRESTA GALLO DI
PUNTA CRESTA DI GALLO D3.2,Punta,,D3.2,3.2,,,,,,Dx,,,NUOVO,BELOTTIC3,,,,3,Foratura,Metrico,PUNTA CRESTA DI GALLO D3.2,CRESTA GALLO DI
PUNTA METALLO DURO D2.8,Punta,,D2.8,2.8,,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,,YIG,1,Foratura,Metrico,PUNTA METALLO DURO D2.8,
PUNTA METALLO DURO TD 850GP 0480 MDI,Punta,,D4.8,4.8,,480.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD 850GP 0480 MDI,MDI 850GP TD
PUNTA METALLO DURO TD 850GP 0480 MDI,Punta,,D4.5,4.5,,480.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,0,Foratura,Metrico,PUNTA METALLO DURO TD 850GP 0480 MDI,MDI 850GP TD
WNTPUNTA D4.2,Punta,,D4.2,4.2,,,,,,Dx,,,NUOVO,BELOTTIC3,,T400092920082,CERATIZIT,1,Foratura,Metrico,WNTPUNTA D4.2,WNTPUNTA
PUNTA METALLO DURO TD850GP 0350 MDI,Punta,,D3.5,3.5,,350.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850GP 0350 MDI,MDI TD850GP
PUNTA METALLO DURO T43 0450 HSSE,Punta,,D4.5,4.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO T43 0450 HSSE,HSSE
PUNTA METALLO DURO D3.5,Punta,,D3.5,3.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA METALLO DURO D3.5,
KARNASCH PUNTA DIAMANTATA D5,Punta,,D5,5.0,,,,,,Dx,,Diamante,USATO,BELOTTIC3,,290120.0510.035,RAFF,1,Foratura,Metrico,KARNASCH PUNTA DIAMANTATA D5,KARNASCH DIAMANTATA
PUNTA CRESTA DI GALLO D5X6X44X82,Punta,,D5,5.0,,6.0,,,,Dx,,,USATO,BELOTTIC3,,DH424050,YIG,1,Foratura,Metrico,PUNTA CRESTA DI GALLO D5X6X44X82,CRESTA GALLO DI D5X6X44X82
PUNTA D5.4,Punta,,D5.4,5.4,,,,,,Dx,,,USATO,BELOTTIC3,,DH452054,YIG,2,Foratura,Metrico,PUNTA D5.4,
PUNTA PER VETRO D5 G5 LTOT80,Punta,,D5,5.0,,,,,,Dx,VETRO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA PER VETRO D5 G5 LTOT80,PER LTOT80
PUNTA D5  LTOT80 MDI,Punta,,D5,5.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA D5  LTOT80 MDI,MDI LTOT80
PUNTA METALLO DURO T43 0520 HSSE,Punta,,D5.2,5.2,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO T43 0520 HSSE,HSSE
PUNTA D5.2,Punta,,D5.2,5.2,,,,,,Dx,,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA D5.2,
PUNTA D5.6,Punta,,D5.6,5.6,,,,,,Dx,,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA D5.6,
PUNTA METALLO DURO TD850 GP 0520 MDI,Punta,,D5.2,5.2,,520.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO TD850 GP 0520 MDI,MDI GP
PUNTA METALLO DURO TD850 GP 0600,Punta,,D6,6.0,,600.0,,,,Dx,METALLO DURO,,USATO,,,,BURZONI,3,Foratura,Metrico,PUNTA METALLO DURO TD850 GP 0600,GP
PUNTA METALLO DURO TD850 GP 0500MDI,Punta,,D5,5.0,,500.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO TD850 GP 0500MDI,0500MDI GP
PUNTA METALLO DURO TD850 GP 0510 MDI,Punta,,D5.1,5.1,,510.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850 GP 0510 MDI,MDI GP
PUNTA METALLO DURO D6,Punta,,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA METALLO DURO D6,
KENNAMETAL PUNTA D7,Punta,,D7,7.0,,,,,,Dx,,,USATO,BELOTTIC3,,B966A07000,FIMU,1,Foratura,Metrico,KENNAMETAL PUNTA D7,KENNAMETAL
PUNTA METALLO DURO D2.3X4X21X57,Punta,,D2,2.0,,4.0,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,DH424023,YIG,1,Foratura,Metrico,PUNTA METALLO DURO D2.3X4X21X57,3X4X21X57
PUNTA T43 D5.2 KP60,Punta,,D5.2,5.2,,,,,,Dx,,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA T43 D5.2 KP60,
PUNTA METALLO DURO TD850GP 0660 KR60,Punta,,D6.6,6.6,,660.0,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850GP 0660 KR60,TD850GP
PUNTA METALLO DURO TD850GP 0700 MDI,Punta,,D7,7.0,,700.0,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO TD850GP 0700 MDI,MDI TD850GP
WNT PUNTA METALLO DURO D6.2 140°,Punta,,D6.2,6.2,,,,,140°,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,00093591190,CERATIZIT,2,Foratura,Metrico,WNT PUNTA METALLO DURO D6.2 140°,WNT
PUNTA METALLO DURO TD850GP 0630 MDI,Punta,,D6.3,6.3,,630.0,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850GP 0630 MDI,MDI TD850GP
PUNTA METALLO DURO TD850GP 0610 MDI,Punta,,D6.1,6.1,,610.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,3,Foratura,Metrico,PUNTA METALLO DURO TD850GP 0610 MDI,MDI TD850GP
PUNTA D6.5,Punta,,D6.5,6.5,,,,,,Dx,,,USATO,BELOTTIC3,,49120,UOP,1,Foratura,Metrico,PUNTA D6.5,
KARNASCH PUNTA D6.4 L3,Punta,,D6.4,6.4,,,,,,Dx,,,USATO,BELOTTIC3,,43290120202,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D6.4 L3,KARNASCH
PUNTA MEYALLO DURO D7,Punta,,D7,7.0,,,,,,Dx,,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA MEYALLO DURO D7,MEYALLO DURO
KARNASCH PUNTA DIAMANTATA D8  X43,Punta,,D8,8.0,,43.0,,,,Dx,,Diamante,NUOVO,BELOTTIC3,,290120800043,RAFF,2,Foratura,Metrico,KARNASCH PUNTA DIAMANTATA D8  X43,KARNASCH DIAMANTATA
