Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
MASCHIO AMERICANO 5/16  UNF 2BX,Maschio,,5/16,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,,,DC,1,Filettatura,Americano,MASCHIO AMERICANO 5/16  UNF 2BX,AMERICANO 2BX UNF
MASCHIO AMERICANO 1/4  20 UNC,Maschio,,1/4,6.35,,,,,,Dx,,,NUOVO,MASCHI A,,,DORMER,1,Filettatura,Americano,MASCHIO AMERICANO 1/4  20 UNC,AMERICANO UNC
MASCHIO AMERICANO 3/8  STRAIGHT FLUTE,Maschio,,3/8,9.524999999999999,,,,,,Dx,,,USATO,MASCHI A,,,DORMER,1,Filettatura,Americano,MASCHIO AMERICANO 3/8  STRAIGHT FLUTE,AMERICANO STRAIGHT FLUTE
PETTINE M4 PITCH 70,Fresa,Pettine,M4,4.0,,70.0,,,,Dx,,,NUOVO,PETTINI,,,EG,1,Fresatura,Metrico,PETTINE M4 PITCH 70,PITCH
"MASCHIO M18X1,50  ISO2 6H",Maschio,,M18,18.0,,1.5,6H,,,Dx,,,USATO,MASCHI,,1489354,EMUGE,1,Filettatura,Metrico,"MASCHIO M18X1,50  ISO2 6H",M18X1 ISO2
MASCHIO M10 6HX REK1A,Maschio,,M10,10.0,,,6HX,,,Dx,,,USATO,MASCHI,,,EMUGE,1,Filettatura,Metrico,MASCHIO M10 6HX REK1A,REK1A
MASCHIO AMERICANO 5/16  UNF REK A,Maschio,,5/16,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,,,EMUGE,1,Filettatura,Americano,MASCHIO AMERICANO 5/16  UNF REK A,AMERICANO REK UNF A
GUHRING MASCHIO AMERICANO,Maschio,,M1,1.0,,,,,,Dx,,,NUOVO,MASCHI A,BRCL00040000090,21376055,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO AMERICANO,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO,Maschio,,M1,1.0,,,,,,Dx,,,NUOVO,MASCHI A,BRCL01361C,23442133,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO AMERICANO,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO,Maschio,,M5,5.0,,,,,,Dx,,,NUOVO,MASCHI A,BRCL00040000091,20066305,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO AMERICANO,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO,Maschio,,M1,1.0,,,,,,Dx,,,NUOVO,MASCHI A,BRCL01361C,23074439,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO AMERICANO,AMERICANO GUHRING
GUHRING MASCHIO M4,Maschio,,M4,4.0,,,,,,Dx,,,NUOVO,MASCHI,,23543248,FIMU,2,Filettatura,Metrico,GUHRING MASCHIO M4,GUHRING
GUHRING MASCHIO M5,Maschio,,M5,5.0,,,,,,Dx,,,NUOVO,MASCHI,,235448943,FIMU,3,Filettatura,Metrico,GUHRING MASCHIO M5,GUHRING
GUHRING MASCHIO M6,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL01416C,22804685,FIMU,3,Filettatura,Metrico,GUHRING MASCHIO M6,GUHRING
GUHRING MASCHIO M8,Maschio,,M8,8.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL00687C,2232117,FIMU,4,Filettatura,Metrico,GUHRING MASCHIO M8,GUHRING
GUHRING MASCHIO M10,Maschio,,M10,10.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL00234C,23543176,FIMU,2,Filettatura,Metrico,GUHRING MASCHIO M10,GUHRING
GUHRING MASCHIO M10,Maschio,,M10,10.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL01417C,21146789,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO M10,GUHRING
GUHRING MASCHIO M12,Maschio,,M12,12.0,,,,,,Dx,,,NUOVO,MASCHI,,21417526,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO M12,GUHRING
GUHRING MASCHIO M14,Maschio,,M14,14.0,,,,,,Dx,,,USATO,MASCHI,,22912221,FIMU,2,Filettatura,Metrico,GUHRING MASCHIO M14,GUHRING
GUHRING MASCHIO M14,Maschio,,M14,14.0,,,,,,Dx,,,USATO,MASCHI,,23154956,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO M14,GUHRING
GUHRING MASCHIO M12,Maschio,,M12,12.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL00705C,23152916,FIMU,3,Filettatura,Metrico,GUHRING MASCHIO M12,GUHRING
MASCHIO M18,Maschio,,M18,18.0,,,,,,Dx,,,NUOVO,MASCHI,BRCL000400000088,2880705,FIMU,1,Filettatura,Metrico,MASCHIO M18,
GUHRING MASCHIO EG M4 6H MOD,Maschio,,M4,4.0,,,6H,,,Dx,,,NUOVO,MASCHI EG,,1479769,FIMU,1,Filettatura,EG,GUHRING MASCHIO EG M4 6H MOD,MOD GUHRING EG
GUHRING MASCHIO EG M5 EG M5 6 MOD HSSE,Maschio,,M5,5.0,,,,,,Dx,HSSE,,NUOVO,MASCHI EG,,16287835,FIMU,2,Filettatura,EG,GUHRING MASCHIO EG M5 EG M5 6 MOD HSSE,MOD GUHRING EG
GUHRING MASCHIO EG M8,Maschio,,M8,8.0,,,,,,Dx,,,USATO,MASCHI EG,,302905552,FIMU,1,Filettatura,EG,GUHRING MASCHIO EG M8,GUHRING EG
GUHRING MASCHIO EG M10  6H MOD HSSE,Maschio,,M10,10.0,,,6H,,,Dx,HSSE,,USATO,MASCHI EG,,302905553,FIMU,2,Filettatura,EG,GUHRING MASCHIO EG M10  6H MOD HSSE,MOD GUHRING EG
GUHRING MASCHIO AMERICANO 1/4,Maschio,,1/4,6.35,,,,,,Dx,,,USATO,MASCHI A,,23501780,FIMU,2,Filettatura,Americano,GUHRING MASCHIO AMERICANO 1/4,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO 7/16,Maschio,,7/16,11.112499999999999,,,,,,Dx,,,USATO,MASCHI A,BRCL000400000094,15894562,FIMU,1,Filettatura,Americano,GUHRING MASCHIO AMERICANO 7/16,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO 8/32,Maschio,,8/32,6.35,,,,,,Dx,,,NUOVO,MASCHI A,BRCL000400000096,21497690,FIMU,1,Filettatura,Americano,GUHRING MASCHIO AMERICANO 8/32,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO,Maschio,,M10,10.0,,,,,,Dx,,,NUOVO,MASCHI A,BRCL000400000093,20528839,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO AMERICANO,AMERICANO GUHRING
GUHRING MASCHIO AMERICANO 5/16,Maschio,,5/16,7.9375,,,,,,Dx,,,USATO,MASCHI A,,,FIMU,1,Filettatura,Americano,GUHRING MASCHIO AMERICANO 5/16,AMERICANO GUHRING
D'ANDREA INSERTO CCMT,Inserto,,CCMT,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,,FIMU,4,,Metrico,D'ANDREA INSERTO CCMT,D ANDREA
D'ANDREA INSERTO WCGT,Inserto,,WCGT,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,,FIMU,9,,,D'ANDREA INSERTO WCGT,D ANDREA
D'ANDREA INSERTO TPGX,Inserto,,DK100,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,32T09,FIMU,9,,Metrico,D'ANDREA INSERTO TPGX,D ANDREA TPGX
D'ANDREA INSERTO TPGX,Inserto,,DC100,,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL00248C,48D06,FIMU,1,,Metrico,D'ANDREA INSERTO TPGX,D ANDREA TPGX
INSERTO XOEX10T308FR,Inserto,,XOEX10T308FR E5,,,10.0,,,,Dx,,,NUOVO,INSERTI FRESA,,2823843,FIMU,6,,,INSERTO XOEX10T308FR,
INSERTO XOEX10T331FR-E05,Inserto,,XOEX10T331FR-E05,,,10.0,,,,Dx,,,NUOVO,INSERTI FRESA,,3002244,FIMU,4,,,INSERTO XOEX10T331FR-E05,
INSERTO XOMX10T331TR,Inserto,,XOMX10T331TR,,,10.0,,,,Dx,,,NUOVO,INSERTI FRESA,,3102796,FIMU,12,,Metrico,INSERTO XOMX10T331TR,
INSERTO SNHQ110202EL4 E05,Inserto,,SNHQ110202EL4 E05,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,2526651,FIMU,10,,,INSERTO SNHQ110202EL4 E05,
INSERTO SNHQ110202ER4 E05,Inserto,,SNHQ110202ER4 E05,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,2526652,FIMU,2,,,INSERTO SNHQ110202ER4 E05,
INSERTO FRESA EDCT140431,Inserto,,EDCT14043,,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01062C,KC410M,FIMU,18,,Metrico,INSERTO FRESA EDCT140431,EDCT140431 FRESA
INSERTO FRESA EDCT,Inserto,,EDCT140408PDFRLDJ,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,KC410M,FIMU,17,,Metrico,INSERTO FRESA EDCT,EDCT FRESA
INSERO FRESA SFERICA,Fresa,Sferica,KDMB20MOERLD,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,601486489,FIMU,8,Fresatura,Metrico,INSERO FRESA SFERICA,INSERO
INSERTO FRESA SFERICA,Inserto,,KDMB20MOERLD,,,,,,,Dx,,,USATO,INSERTI FRESA,,601486489,FIMU,13,,Metrico,INSERTO FRESA SFERICA,SFERICA FRESA
GUHRING FRESA METALLO DURO D20 41200,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,TMDG,FIMU,1,Fresatura,Metrico,GUHRING FRESA METALLO DURO D20 41200,GUHRING
GUHRING FRESA METALLO DURO D2.1,Fresa,Candela,D2.1,2.1,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,,FIMU,1,Fresatura,Metrico,GUHRING FRESA METALLO DURO D2.1,GUHRING
SECO FRESA DIAMANTATA D8  R0.2,Fresa,Torica,D8,8.0,0.2,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,6035948418,FIMU,0,Fresatura,Metrico,SECO FRESA DIAMANTATA D8  R0.2,SECO DIAMANTATA
FRESA DIAMANTATA D16 R0.2,Fresa,Torica,D16,16.0,0.2,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,02720262,FIMU,2,Fresatura,Metrico,FRESA DIAMANTATA D16 R0.2,DIAMANTATA
GUHRING ALESATORE D14 H7,Alesatore,,D14,14.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,22802954,FIMU,1,,Metrico,GUHRING ALESATORE D14 H7,GUHRING
GUHRING PUNTA D2.05,Punta,,D2.05,2.05,,,,,,Dx,,,NUOVO,PUNTE1,,648814P,FIMU,1,Foratura,Metrico,GUHRING PUNTA D2.05,GUHRING
GUHRING PUNTA D3.3,Punta,,D3.3,3.3,,,,,,Dx,,,NUOVO,PUNTE1,,5768-3300,FIMU,2,Foratura,Metrico,GUHRING PUNTA D3.3,GUHRING
GUHRING PUNTA D3.3,Punta,,D3.3,3.3,,,,,,Dx,,,NUOVO,PUNTE1,,DIN 6537 LR-RT1,FIMU,2,Foratura,Metrico,GUHRING PUNTA D3.3,GUHRING
GUHRING PUNTA D5.0,Punta,,D5.0,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,,FIMU,2,Foratura,Metrico,GUHRING PUNTA D5.0,GUHRING
GUHRING PUNTA D5.1,Punta,,D5.1,5.1,,,,,,Dx,,,USATO,PUNTE1,,,FIMU,1,Foratura,Metrico,GUHRING PUNTA D5.1,GUHRING
GUHRING PUNTA D5.1,Punta,,D5.1,5.1,,,,,,Dx,,,NUOVO,PUNTE1,,,FIMU,3,Foratura,Metrico,GUHRING PUNTA D5.1,GUHRING
GUHRING PUNTA D5.6,Punta,,D5.6,5.6,,,,,,Dx,,,USATO,PUNTE1,,,FIMU,1,Foratura,Metrico,GUHRING PUNTA D5.6,GUHRING
GUHRING PUNTA D5.56,Punta,,D5.56,5.56,,,,,,Dx,,,USATO,PUNTE1,,,FIMU,1,Foratura,Metrico,GUHRING PUNTA D5.56,GUHRING
GUHRING PUNTA D6.6,Punta,,D6.6,6.6,,,,,,Dx,,,NUOVO,PUNTE1,,,FIMU,1,Foratura,Metrico,GUHRING PUNTA D6.6,GUHRING
INSERTO LAMATORE IN TIRO,Lamatore,,D8.0,8.0,,,,,,Dx,,,NUOVO,MARCO,BRCL00729C,BSF-M-B-1D-8.0,HEULE,2,Lamatura,Metrico,INSERTO LAMATORE IN TIRO,IN INSERTO TIRO
PUNTA D1.6 HSS,Punta,,D1.6,1.6,,,,,,Dx,HSS,,NUOVO,PUNTE 1.6 PANNELLI,,,HOFFMAN,4,Foratura,Metrico,PUNTA D1.6 HSS,
HOLEX PUNTA 1.6,Punta,,D1.6,1.6,,,,,,Dx,,,NUOVO,PUNTE 1.6 PANNELLI,,,HOFFMAN,3,Foratura,Metrico,HOLEX PUNTA 1.6,HOLEX
GARANT FRESA METALLO DURO D8,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000137,202272 8,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA METALLO DURO D8,GARANT
GARANT FRESA METALLO DURO D10 R1,Fresa,Torica,D10,10.0,1.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,4045197 764607,HOFFMAN,2,Fresatura,Metrico,GARANT FRESA METALLO DURO D10 R1,GARANT
GARANT FRESA METALLO DURO D10 R05,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000059,360/22,HOFFMAN,0,Fresatura,Metrico,GARANT FRESA METALLO DURO D10 R05,GARANT
GARANT FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,202272,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA METALLO DURO D12,GARANT
GARANT FRESA METALLO DURO D2,Fresa,Candela,D2,2.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,94120104,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA METALLO DURO D2,GARANT
GARANT FRESA SFERICA METALLO DURO D9.75,Fresa,Sferica,D9.75,9.75,4.875,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI2,,20978110,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA SFERICA METALLO DURO D9.75,GARANT
GARANT FRESA DIAMANTATA D6X1,Fresa,Candela,D6,6.0,,1.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL01429C,2097556,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA DIAMANTATA D6X1,DIAMANTATA GARANT D6X1
GARANT FRESA DIAMANTATA D16L2-17,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,2917533052391482,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA DIAMANTATA D16L2-17,DIAMANTATA GARANT D16L2
GARANT ALESATORE D12,Alesatore,,D12,12.0,,,,,,Dx,,,USATO,ALESATORI,,16450012,HOFFMAN,1,,Metrico,GARANT ALESATORE D12,GARANT
HOLEX ALESATORE D11,Alesatore,,D11,11.0,,,,,,Dx,,,USATO,ALESATORI,,32105,HOFFMAN,1,,Metrico,HOLEX ALESATORE D11,HOLEX
HOLEX ALESATORE D6,Alesatore,,D6,6.0,,,,,,Dx,,,NUOVO,ALESATORI,BRCL00850C,16015_0,HOFFMAN,3,,Metrico,HOLEX ALESATORE D6,HOLEX
FRESA RAGGIATA D8 R4,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA RAGGIATA D8 R4,RAGGIATA
FRESA MDI Z3,Fresa,Candela,D9.59,9.59,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,2,Fresatura,Metrico,FRESA MDI Z3,MDI
FRESA MDI Z4,Fresa,Candela,D11.65,11.65,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI Z4,MDI
FRESA MDI Z3,Fresa,Candela,D9.58,9.58,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,2,Fresatura,Metrico,FRESA MDI Z3,MDI
FRESA MDI Z4,Fresa,Candela,D7.5,7.5,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI Z4,MDI
FRESA MD1 Z3 M11.57,Fresa,Candela,M11.57,11.57,,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MD1 Z3 M11.57,
FRESA MDI Z4 D7.49,Fresa,Candela,D7.49,7.49,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI Z4 D7.49,MDI
FRESA SFERICA D8,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA SFERICA D8,
FRESA SFERICA D10,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA SFERICA D10,
FRESA MDI D9.59,Fresa,Candela,D9.59,9.59,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI D9.59,MDI
FRESA MDI D9.57,Fresa,Candela,D9.57,9.57,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,3,Fresatura,Metrico,FRESA MDI D9.57,MDI
FRESA RAGGIATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA RAGGIATA D8,RAGGIATA
FRESA SFERICA D10,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA SFERICA D10,
FRESA MDI D9.47,Fresa,Candela,D9.47,9.47,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI D9.47,MDI
FRESA SFERICA,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA SFERICA,
FRESA SFERICA,Fresa,Sferica,D12,12.0,6.0,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA SFERICA,
FRESA MDI D9.59,Fresa,Candela,D9.59,9.59,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI D9.59,MDI
FRESA MDI D9.56,Fresa,Candela,D9.56,9.56,,,,,,Dx,METALLO DURO,,RIAFFILATA,RIAFFILATE1,,,HOFFMAN,1,Fresatura,Metrico,FRESA MDI D9.56,MDI
GARANT FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL01170C,209548,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA DIAMANTATA D8,DIAMANTATA GARANT
PUNTA D4.5 RIAFFILATA,Punta,,D4.5,4.5,,,,,,Dx,,,RIAFFILATA,RIAFFILATE1,,1170304200,HOFFMAN,1,Foratura,Metrico,PUNTA D4.5 RIAFFILATA,RIAFFILATA
PUNTA CRESTA DI GALLO D10,Punta,,D10,10.0,,,,,,Dx,,,NUOVO,PUNTE3,BRCL01436C,,HOFFMAN,3,Foratura,Metrico,PUNTA CRESTA DI GALLO D10,CRESTA GALLO DI
FRESA DIAMANTATA D8/001,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,2985,HTTART,1,Fresatura,Metrico,FRESA DIAMANTATA D8/001,DIAMANTATA
FRESA DIAMANTATA D8HTT,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,001/A,HTTART,1,Fresatura,Metrico,FRESA DIAMANTATA D8HTT,DIAMANTATA D8HTT
FRESA DIAMANTATA D4,Fresa,Candela,D4,4.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,FB194HS040060,HUFSCHMIED,1,Fresatura,Metrico,FRESA DIAMANTATA D4,DIAMANTATA
FRESA DIAMANTATA D6L3R3,Fresa,Candela,D6,6.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,394R0O6R,HZ,2,Fresatura,Metrico,FRESA DIAMANTATA D6L3R3,DIAMANTATA D6L3R3
FRESA DIAMANTATA D8X35,Fresa,Candela,D8,8.0,,35.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,HZ,2,Fresatura,Metrico,FRESA DIAMANTATA D8X35,D8X35 DIAMANTATA
FRESA DIAMANTATA D8X25X63,Fresa,Candela,D8,8.0,,25.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,HZ,1,Fresatura,Metrico,FRESA DIAMANTATA D8X25X63,DIAMANTATA D8X25X63
PETTINE 3.1,Fresa,Pettine,D3.1,3.1,,,,,,Dx,,,NUOVO,PETTINI,BRCL000400000023,,IGUTENSILI,5,Fresatura,Metrico,PETTINE 3.1,
PETTINE D2.35  P0.50 60°,Fresa,Pettine,D2.35,2.35,,,,,60°,Dx,,,NUOVO,PETTINI,,,IGUTENSILI,2,Fresatura,Metrico,PETTINE D2.35  P0.50 60°,
ALESATORE D7.94,Alesatore,,D7.94,7.94,,,,,,Dx,,,NUOVO,ALESATORI,,8093,ILIX,1,,Metrico,ALESATORE D7.94,
FRESA DIAMANTATA D8 R05,Fresa,Torica,D8,8.0,5.0,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,JONGEN,2,Fresatura,Metrico,FRESA DIAMANTATA D8 R05,DIAMANTATA
ALESATORE D6.7,Alesatore,,D6.7,6.7,,,,,,Dx,,,USATO,ALESATORI,,4011006600,KOMET,4,,Metrico,ALESATORE D6.7,
ALESATORE D2.5,Alesatore,,D2.5,2.5,,,,,,Dx,,,NUOVO,ALESATORI,,40110025,KOMET,2,,Metrico,ALESATORE D2.5,
INSERTO FRESA T183,Inserto,,T183,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,,N,1,,,INSERTO FRESA T183,FRESA
MASCHIO AMERICANO 1/2-20UNF 2BX B,Maschio,,1/2,12.7,,,,,,Dx,,,USATO,MASCHI A,-,48145491,OSG,1,Filettatura,Americano,MASCHIO AMERICANO 1/2-20UNF 2BX B,AMERICANO 20UNF B 2BX
MASCHIO M7,Maschio,,M7,7.0,,,,,,Dx,,,NUOVO,MASCHI,,48139158,OSG,3,Filettatura,Metrico,MASCHIO M7,
MASCHIO M8,Maschio,,M8,8.0,,,,,,Dx,,,USATO,MASCHI,,48139162,OSG,1,Filettatura,Metrico,MASCHIO M8,
MASCHIO M12,Maschio,,M12,12.0,,,,,,Dx,,,NUOVO,MASCHI,,48139179,OSG,1,Filettatura,Metrico,MASCHIO M12,
MASCHIO EG M6,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,48139155,OSG,1,Filettatura,EG,MASCHIO EG M6,EG
MASCHIO EG M6,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,48006155,OSG,1,Filettatura,EG,MASCHIO EG M6,EG
ALESATORE D18.03,Alesatore,,D18.03,18.03,,,,,,Dx,,,NUOVO,ALESATORI,,720-18.03,OSSOLANA,1,,Metrico,ALESATORE D18.03,
ALESATORE D18  H7,Alesatore,,D18,18.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,200-1800,OSSOLANA,1,,Metrico,ALESATORE D18  H7,
OSG MASCHIO EG M6,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,48145155,RAFF,1,Filettatura,EG,OSG MASCHIO EG M6,OSG EG
OSG MASCHIO EG M6,Maschio,,M6,6.0,,,,,,Dx,,,NUOVO,MASCHI EG,,48139601,RAFF,1,Filettatura,EG,OSG MASCHIO EG M6,OSG EG
OSG MASCHIO AMERICANO 1/2 13UNC 2B,Maschio,,1/2,12.7,,,,,,Dx,,,USATO,MASCHI A,,48223489,RAFF,2,Filettatura,Americano,OSG MASCHIO AMERICANO 1/2 13UNC 2B,AMERICANO 2B 13UNC OSG
OSG MASCHIO AMERICANO 1/4,Maschio,,1/4,6.35,,,,,,Dx,,,NUOVO,MASCHI A,,48139472,RAFF,3,Filettatura,Americano,OSG MASCHIO AMERICANO 1/4,AMERICANO OSG
OSG MASCHIO AMERICANO 10/24,Maschio,,10/24,10.583333333333334,,,,,,Dx,,,NUOVO,MASCHI A,,74946630,RAFF,2,Filettatura,Americano,OSG MASCHIO AMERICANO 10/24,AMERICANO OSG
OSG MASCHIO AMERICANO 10/32,Maschio,,10/32,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,,48139467,RAFF,1,Filettatura,Americano,OSG MASCHIO AMERICANO 10/32,AMERICANO OSG
OSG MASCHIO AMERICANO3/8,Maschio,,M3,3.0,,,,,,Dx,,,NUOVO,MASCHI A,,74947950,RAFF,2,Filettatura,Metrico,OSG MASCHIO AMERICANO3/8,OSG AMERICANO3
OSG FRESA METALLO DURO D4,Fresa,Candela,D4,4.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000127,,RAFF,2,Fresatura,Metrico,OSG FRESA METALLO DURO D4,OSG
FRESA METALLO DURO D11.50 R1,Fresa,Torica,D11.50,11.5,1.0,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,,FET3120-R1,RAFF,1,Fresatura,Metrico,FRESA METALLO DURO D11.50 R1,
KARNASH PUNTA DIAMANTATA D2.2  L14,Punta,,D2.2,2.2,,,,,,Dx,,Diamante,NUOVO,PUNTE3,,290120,RAFF,5,Foratura,Metrico,KARNASH PUNTA DIAMANTATA D2.2  L14,DIAMANTATA KARNASH
KARNASH FRESA METALLO DURO D4,Fresa,Candela,D4,4.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,291753908,RAFF,1,Fresatura,Metrico,KARNASH FRESA METALLO DURO D4,KARNASH
KARNASH FRESA DIAMANTATA D6,Fresa,Candela,D6,6.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,291763901,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D6,DIAMANTATA KARNASH
KARNASH FRESA DIAMANTATA D6 X50,Fresa,Candela,D6,6.0,,50.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL000400000398,291.763.000.050,RAFF,2,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D6 X50,DIAMANTATA KARNASH
KARNASH FRESA DIAMANTATA D6 X0.2,Fresa,Candela,D6,6.0,,0.2,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,291753.0600.30,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D6 X0.2,DIAMANTATA KARNASH
KARNASH FRESA DIAMANTATA D8 L2-21,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,2917633092499990,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D8 L2-21,DIAMANTATA KARNASH
